ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
5109,rurutuan,1493,taʔi,t a ʔ i,,Meyer-128-2005,taʔi
5621,hawaiian,1493,'ekahi,ʔ e k a h i,,71458,'ekahi
719,maori,1634,rau,r a u,,Biggs-85-2005,rau
1163,tahitian,1634,haanere,h aː n e r e,,Clark-173-2005,haanere
1164,tahitian,1634,rau,r a u,,Clark-173-2005,rau
1591,rapanui,1634,rau,r a u,,POLLEX,rau
1848,mangareva,1634,rau,r a u,,POLLEX,rau
3073,sikaiana,1634,lau,l a u,,POLLEX,lau
3292,northmarquesan,1634,'au,ʔ a u,,POLLEX,'au
4390,raivavae,1634,Gau,ɢ a u,,Tamaititahio-1213-2015,Gau
4589,tuamotuan,1634,rau,r a u,,POLLEX,rau
5096,rurutuan,1634,ʔaanere,ʔ aː n e r e,,Meyer-128-2005,ʔaanere
5608,hawaiian,1634,hanele,h a n e l e,,71458,hanele
718,maori,1843,mano,m a n o,,Biggs-85-2005,mano
1161,tahitian,1843,tauatini,t a u a t i n i,,Clark-173-2005,tauatini
1162,tahitian,1843,mano,m a n o,,Clark-173-2005,mano
1589,rapanui,1843,piere,p i e r e,,POLLEX,piere
1590,rapanui,1843,mano,m a n o,,POLLEX,mano
1847,mangareva,1843,mano,m a n o,,POLLEX,mano
3072,sikaiana,1843,mano,m a n o,,POLLEX,mano
4388,raivavae,1843,mano,m a n o,,Tamaititahio-1213-2015,mano
4389,raivavae,1843,tauatini,t a u a t i n i,,Tamaititahio-1213-2015,tauatini
4588,tuamotuan,1843,mano,m a n o,,POLLEX,mano
5095,rurutuan,1843,tauatini,t a u a t i n i,,Meyer-128-2005,tauatini
5607,hawaiian,1843,kaukani,k a u k a n i,,71458,kaukani
726,maori,1704,fitu,f i t u,,Biggs-85-2005,whitu
1170,tahitian,1704,hitu,h i t u,,Clark-173-2005,hitu
1596,rapanui,1704,hitu,h i t u,,POLLEX,hitu
1854,mangareva,1704,'itu,ʔ i t u,,POLLEX,'itu
3077,sikaiana,1704,hitu,h i t u,,POLLEX,hitu
3298,northmarquesan,1704,fitu,f i t u,,POLLEX,fitu
4396,raivavae,1704,hitu,h i t u,,Tamaititahio-1213-2015,hitu
4593,tuamotuan,1704,hitu,h i t u,,POLLEX,hitu
5102,rurutuan,1704,ʔitu,ʔ i t u,,Meyer-128-2005,ʔitu
5615,hawaiian,1704,hiku,h i k u,,71458,hiku
727,maori,1703,ono,o n o,,Biggs-85-2005,ono
1171,tahitian,1703,ono,o n o,,Clark-173-2005,ono
1597,rapanui,1703,ono,o n o,,POLLEX,ono
1855,mangareva,1703,ono,o n o,,POLLEX,ono
3078,sikaiana,1703,ono,o n o,,POLLEX,ono
3299,northmarquesan,1703,ono,o n o,,POLLEX,ono
4397,raivavae,1703,ono,o n o,,Tamaititahio-1213-2015,ono
4594,tuamotuan,1703,fene,f e n e,,POLLEX,fene
5103,rurutuan,1703,ono,o n o,,Meyer-128-2005,ono
5616,hawaiian,1703,'eono,ʔ e o n o,,71458,'eono
722,maori,1515,tekau,t e k a u,,Biggs-85-2005,tekau
723,maori,1515,hangahuru,h a ŋ a h u r u,,Biggs-85-2005,hangahuru
1167,tahitian,1515,'ahuru,ʔ a h u r u,,Clark-173-2005,'ahuru
1592,rapanui,1515,kauatu,k a u a t u,,POLLEX,kauatu
1593,rapanui,1515,aŋahuru,a ŋ a h u r u,,POLLEX,aŋahuru
1851,mangareva,1515,rongo'uru,r o ŋ o ʔ u r u,,POLLEX,rongo'uru
3074,sikaiana,1515,sehui,s e h u i,,POLLEX,sehui
3294,northmarquesan,1515,'okohu'u,ʔ o k o h u ʔ u,,POLLEX,'okohu'u
3295,northmarquesan,1515,'onohu'u,ʔ o n o h u ʔ u,,POLLEX,'onohu'u
4393,raivavae,1515,ʔahuGu,ʔ a h u ɢ u,,Tamaititahio-1213-2015,ʔahuGu
4590,tuamotuan,1515,ŋahuru,ŋ a h u r u,,POLLEX,ŋahuru
5099,rurutuan,1515,ʔaʔuru,ʔ a ʔ u r u,,Meyer-128-2005,ʔaʔuru
5611,hawaiian,1515,'umi,ʔ u m i,,71458,'umi
5612,hawaiian,1515,anahulu,a n a h u l u,,71458,anahulu
730,maori,492,toru,t o r u,,Biggs-85-2005,toru
1175,tahitian,492,toru,t o r u,,Clark-173-2005,toru
1600,rapanui,492,toru,t o r u,,POLLEX,toru
1858,mangareva,492,toru,t o r u,,POLLEX,toru
3081,sikaiana,492,tolu,t o l u,,POLLEX,tolu
3302,northmarquesan,492,to'u,t o ʔ u,,POLLEX,to'u
4400,raivavae,492,toGu,t o ɢ u,,Tamaititahio-1213-2015,toGu
4597,tuamotuan,492,toru,t o r u,,POLLEX,toru
5106,rurutuan,492,toru,t o r u,,Meyer-128-2005,toru
5619,hawaiian,492,kolu,k o l u,,71458,kolu
721,maori,1710,rua tekau,r u a t e k a u,,Biggs-85-2005,rua tekau
1165,tahitian,1710,piti 'ahuru,p i t i ʔ a h u r u,,Clark-173-2005,piti 'ahuru
1166,tahitian,1710,ta'au,t a ʔ a u,,Clark-173-2005,ta'au
1850,mangareva,1710,takau,t a k a u,,POLLEX,takau
3293,northmarquesan,1710,tekau,t e k a u,,POLLEX,tekau
4392,raivavae,1710,piti ʔahuGu,p i t i ʔ a h u ɢ u,,Tamaititahio-1213-2015,piti ʔahuGu
5098,rurutuan,1710,piti ʔaʔuru,p i t i ʔ a ʔ u r u,,Meyer-128-2005,piti ʔaʔuru
5610,hawaiian,1710,iwakālua,i w a k aː l u a,,71458,iwakālua
731,maori,1498,rua,r u a,,Biggs-85-2005,rua
1176,tahitian,1498,piti,p i t i,,Clark-173-2005,piti
1601,rapanui,1498,rua,r u a,,POLLEX,rua
1859,mangareva,1498,rua,r u a,,POLLEX,rua
3082,sikaiana,1498,lua,l u a,,POLLEX,lua
3303,northmarquesan,1498,'ua,ʔ u a,,POLLEX,'ua
4401,raivavae,1498,piti,p i t i,,Tamaititahio-1213-2015,piti
4598,tuamotuan,1498,rua,r u a,,POLLEX,rua
5107,rurutuan,1498,rua,r u a,,Meyer-128-2005,rua
5108,rurutuan,1498,piti,p i t i,,Meyer-128-2005,piti
5620,hawaiian,1498,lua,l u a,,71458,lua
761,maori,1741,i runga,i r u ŋ a,,Biggs-85-2005,i runga
1206,tahitian,1741,ni'a,n i ʔ a,,Clark-173-2005,ni'a
1630,rapanui,1741,ruga,r u g a,,POLLEX,ruga
1883,mangareva,1741,runga,r u ŋ a,,POLLEX,runga
3332,northmarquesan,1741,'una,ʔ u n a,,POLLEX,'una
4424,raivavae,1741,Guʔa,ɢ u ʔ a,,Tamaititahio-1213-2015,Guʔa
4617,tuamotuan,1741,ruŋa,r u ŋ a,,POLLEX,ruŋa
5139,rurutuan,1741,nuʔa,n u ʔ a,,Meyer-128-2005,nuʔa
5650,hawaiian,1741,i luna,i l u n a,,71458,i luna
739,maori,98,katoa,k a t o a,,Biggs-85-2005,katoa
1184,tahitian,98,ato'a,a t o ʔ a,,Clark-173-2005,ato'a
1612,rapanui,98,tahi,t a h i,,POLLEX,tahi
1865,mangareva,98,kouroa,k o u r o a,,POLLEX,kouroa
3090,sikaiana,98,katoa,k a t o a,,POLLEX,katoa
3311,northmarquesan,98,tiatohu,t i a t o h u,,POLLEX,tiatohu
4407,raivavae,98,ʔatoʔa,ʔ a t o ʔ a,,Tamaititahio-1213-2015,ʔatoʔa
4601,tuamotuan,98,katoŋa,k a t o ŋ a,,POLLEX,katoŋa
5116,rurutuan,98,paaʔaatoʔa,p aː ʔ aː t o ʔ a,,Meyer-128-2005,paaʔaatoʔa
5627,hawaiian,98,apau,a p a u,,71458,apau
737,maori,1577,hoki,h o k i,,Biggs-85-2005,hoki
738,maori,1577,me,m e,,Biggs-85-2005,me
1183,tahitian,1577,'ee,ʔ eː,,Clark-173-2005,'ee
1608,rapanui,1577,piri,p i r i,,POLLEX,piri
1609,rapanui,1577,pe,p e,,POLLEX,pe
1610,rapanui,1577,ma,m a,,POLLEX,ma
1611,rapanui,1577,e,e,,POLLEX,e
1864,mangareva,1577,e,e,,POLLEX,e
3089,sikaiana,1577,ma,m a,,POLLEX,ma
3310,northmarquesan,1577,maa,m aː,,POLLEX,maa
4406,raivavae,1577,e,e,,Tamaititahio-1213-2015,e
5115,rurutuan,1577,ʔee,ʔ eː,,Meyer-128-2005,ʔee
5626,hawaiian,1577,a me,a m e,,71458,a me
793,maori,646,pungarehu,p u ŋ a r e h u,,Biggs-85-2005,pungarehu
1238,tahitian,646,rehu,r e h u,,Clark-173-2005,rehu
1670,rapanui,646,éoéo,ʔ e o ʔ e o,,POLLEX,éoéo
1921,mangareva,646,ngara'u,ŋ a r a ʔ u,,POLLEX,ngara'u
1922,mangareva,646,e'u,ʔ e ʔ u,,POLLEX,e'u
3137,sikaiana,646,lehu,l e h u,,POLLEX,lehu
3382,northmarquesan,646,'ehu,ʔ e h u,,POLLEX,ke/'ehu/
4453,raivavae,646,Gehu auahi,ɢ e h u a u a h i,,Tamaititahio-1213-2015,Gehu auahi
4652,tuamotuan,646,rehu,r e h u,,POLLEX,rehu
5174,rurutuan,646,reʔu,r e ʔ u,,Meyer-128-2005,reʔu
5682,hawaiian,646,lehu,l e h u,,71458,lehu
763,maori,1461,hei,h e i,,Biggs-85-2005,hei
764,maori,1461,i,i,,Biggs-85-2005,i
1208,tahitian,1461,i,i,,Clark-173-2005,i
1633,rapanui,1461,i,i,,POLLEX,i
1885,mangareva,1461,ki,k i,,POLLEX,i/ki
3110,sikaiana,1461,i,i,,POLLEX,i
3335,northmarquesan,1461,i,i,,POLLEX,i
4426,raivavae,1461,i,i,,Tamaititahio-1213-2015,i
4619,tuamotuan,1461,tei,t e i,,POLLEX,tei
4620,tuamotuan,1461,i,i,,POLLEX,i
5141,rurutuan,1461,i,i,,Meyer-128-2005,i
5653,hawaiian,1461,i,i,,71458,i
5654,hawaiian,1461,ma,m a,,71458,ma
931,maori,1291,tuaraa,t u a r aː,,Biggs-85-2005,tuaraa
1382,tahitian,1291,tua,t u a,,Clark-173-2005,tua
1829,rapanui,1291,tu'a ivi,t u ʔ a i v i,,POLLEX,tu'a ivi
2095,mangareva,1291,tua,t u a,,POLLEX,tua
3277,sikaiana,1291,tua,t u a,,POLLEX,tua
3569,northmarquesan,1291,tua,t u a,,POLLEX,tua
4576,raivavae,1291,tua,t u a,,Tamaititahio-1213-2015,tua
4835,tuamotuan,1291,papatua,p a p a t u a,,POLLEX,papatua
5340,rurutuan,1291,tautua,t a u t u a,,Meyer-128-2005,tautua
5828,hawaiian,1291,kua,k u a,,71458,kua
773,maori,1292,kino,k i n o,,Biggs-85-2005,kino
1217,tahitian,1292,'ino,ʔ i n o,,Clark-173-2005,'ino
1642,rapanui,1292,kino,k i n o,,POLLEX,kino
1896,mangareva,1292,kino,k i n o,,POLLEX,kino
3117,sikaiana,1292,hakakinokino,h a k a k i n o k i n o,,POLLEX,hakakinokino
3347,northmarquesan,1292,hauhau,h a u h a u,,POLLEX,hauhau
3348,northmarquesan,1292,ìno,ʔ i n o,,POLLEX,ìno
4434,raivavae,1292,ʔino,ʔ i n o,,Tamaititahio-1213-2015,ʔino
4628,tuamotuan,1292,kiro,k i r o,,POLLEX,kiro
5152,rurutuan,1292,manuenu,m a n u e n u,,Meyer-128-2005,manuenu
5153,rurutuan,1292,ʔino,ʔ i n o,,Meyer-128-2005,ʔino
5662,hawaiian,1292,'ino,ʔ i n o,,71458,'ino
930,maori,1251,puku,p u k u,,Biggs-85-2005,puku
1381,tahitian,1251,'oopuu,ʔ oː p uː,,Clark-173-2005,'oopuu
1827,rapanui,1251,manava,m a n a v a,,POLLEX,manava
1828,rapanui,1251,kopu,k o p u,,POLLEX,kopu
2092,mangareva,1251,kōpū,k oː p uː,,POLLEX,kōpū
2093,mangareva,1251,manava,m a n a v a,,POLLEX,manava
2094,mangareva,1251,kona,k o n a,,POLLEX,kona
3276,sikaiana,1251,manava,m a n a v a,,POLLEX,manava
3568,northmarquesan,1251,'opu,ʔ o p u,,POLLEX,'opu
4575,raivavae,1251,ʔōpū,ʔ oː p uː,,Tamaititahio-1213-2015,ʔōpū
4831,tuamotuan,1251,tia,t i a,,POLLEX,tia
4832,tuamotuan,1251,manava,m a n a v a,,POLLEX,manava
4833,tuamotuan,1251,koopuu,k oː p uː,,POLLEX,koopuu
4834,tuamotuan,1251,kona,k o n a,,POLLEX,kona
5339,rurutuan,1251,ʔoopuu,ʔ oː p uː,,Meyer-128-2005,ʔoopuu
5827,hawaiian,1251,'ōpū,ʔ oː p uː,,71458,'ōpū
760,maori,1485,i raro,i r a r o,,Biggs-85-2005,i raro
1205,tahitian,1485,raro,r a r o,,Clark-173-2005,raro
1629,rapanui,1485,raro,r a r o,,POLLEX,raro
1882,mangareva,1485,raro,r a r o,,POLLEX,raro
3108,sikaiana,1485,lalo,l a l o,,POLLEX,lalo
3331,northmarquesan,1485,à'o,ʔ a ʔ o,,POLLEX,à'o
4423,raivavae,1485,GaGo,ɢ a ɢ o,,Tamaititahio-1213-2015,GaGo
4616,tuamotuan,1485,raro,r a r o,,POLLEX,raro
5138,rurutuan,1485,raro,r a r o,,Meyer-128-2005,raro
5649,hawaiian,1485,lalo,l a l o,,71458,lalo
786,maori,1202,nui,n u i,,Biggs-85-2005,nui
1230,tahitian,1202,rahi,r a h i,,Clark-173-2005,rahi
1659,rapanui,1202,nui,n u i,,POLLEX,nui
1660,rapanui,1202,rahi,r a h i,,POLLEX,rahi
1910,mangareva,1202,ru'aru'a,r u ʔ a r u ʔ a,,POLLEX,ru'aru'a
1911,mangareva,1202,nui,n u i,,POLLEX,nui
3129,sikaiana,1202,niu,n i u,,POLLEX,n/niu/
3367,northmarquesan,1202,maaka,m aː k a,,POLLEX,maaka
3368,northmarquesan,1202,nui,n u i,,POLLEX,nui
4446,raivavae,1202,Gahi,ɢ a h i,,Tamaititahio-1213-2015,Gahi
4641,tuamotuan,1202,nui,n u i,,POLLEX,nui
5167,rurutuan,1202,raʔi,r a ʔ i,,Meyer-128-2005,raʔi
5674,hawaiian,1202,nui,n u i,,71458,nui
847,maori,937,manu,m a n u,,Biggs-85-2005,manu
1291,tahitian,937,manu,m a n u,,Clark-173-2005,manu
1727,rapanui,937,manu,m a n u,,POLLEX,manu
1987,mangareva,937,manu,m a n u,,POLLEX,manu
3188,sikaiana,937,kivi,k i v i,,POLLEX,kivi/aitu
3445,northmarquesan,937,manu,m a n u,,POLLEX,manu
4495,raivavae,937,manu,m a n u,,Tamaititahio-1213-2015,manu
4717,tuamotuan,937,manu,m a n u,,POLLEX,manu
5231,rurutuan,937,manu,m a n u,,Meyer-128-2005,manu
5736,hawaiian,937,manu,m a n u,,71458,manu
792,maori,163,mangu,m a ŋ u,,Biggs-85-2005,mangu
1237,tahitian,163,'ere'ere,ʔ e r e ʔ e r e,,Clark-173-2005,'ere'ere
1668,rapanui,163,kerekere,k e r e k e r e,,POLLEX,kerekere
1919,mangareva,163,kerekere,k e r e k e r e,,POLLEX,kerekere
1920,mangareva,163,uri,u r i,,POLLEX,uri
3136,sikaiana,163,uli,u l i,,POLLEX,uli
3380,northmarquesan,163,hivahiva,h i v a h i v a,,POLLEX,hivahiva
4452,raivavae,163,ʔeGeʔeGe,ʔ e ɢ e ʔ e ɢ e,,Tamaititahio-1213-2015,ʔeGeʔeGe
4649,tuamotuan,163,hiva,h i v a,,POLLEX,hiva
4650,tuamotuan,163,uri,u r i,,POLLEX,uri
4651,tuamotuan,163,kere,k e r e,,POLLEX,kere
5173,rurutuan,163,ʔereʔere,ʔ e r e ʔ e r e,,Meyer-128-2005,ʔereʔere
5681,hawaiian,163,'ele'ele,ʔ e l e ʔ e l e,,71458,'ele'ele
921,maori,946,toto,t o t o,,Biggs-85-2005,toto
1372,tahitian,946,toto,t o t o,,Clark-173-2005,toto
1817,rapanui,946,toto,t o t o,,POLLEX,toto
2082,mangareva,946,toto,t o t o,,POLLEX,toto
3267,sikaiana,946,haeko,h a e k o,,POLLEX,haeko
3558,northmarquesan,946,toto,t o t o,,POLLEX,toto
4566,raivavae,946,toto,t o t o,,Tamaititahio-1213-2015,toto
4821,tuamotuan,946,toto,t o t o,,POLLEX,toto
5326,rurutuan,946,toto,t o t o,,Meyer-128-2005,toto
5818,hawaiian,946,koko,k o k o,,71458,koko
929,maori,1394,iwi,i w i,,Biggs-85-2005,iwi
1380,tahitian,1394,ivi,i v i,,Clark-173-2005,ivi
1826,rapanui,1394,ivi,i v i,,POLLEX,ivi
2091,mangareva,1394,ivi,i v i,,POLLEX,ivi
3275,sikaiana,1394,ivi,i v i,,POLLEX,ivi
3567,northmarquesan,1394,ivi,i v i,,POLLEX,ivi
4574,raivavae,1394,iviivi,i v iː v i,,Tamaititahio-1213-2015,iviivi
4830,tuamotuan,1394,ivi,i v i,,POLLEX,ivi
5338,rurutuan,1394,ivi,i v i,,Meyer-128-2005,ivi
5826,hawaiian,1394,iwi,i w i,,71458,iwi
830,maori,1531,manga,m a ŋ a,,Biggs-85-2005,manga
1273,tahitian,1531,'aama'a,ʔ aː m a ʔ a,,Clark-173-2005,'aama'a
1710,rapanui,1531,maga,m a g a,,POLLEX,maga
1967,mangareva,1531,rara,r a r a,,POLLEX,rara
3170,sikaiana,1531,laa,l aː,,POLLEX,laa
3424,northmarquesan,1531,àà,ʔ a ʔ a,,POLLEX,àà
4481,raivavae,1531,ʔāmama Gāʔau,ʔ aː m a m a ɢ aː ʔ a u,,Tamaititahio-1213-2015,ʔāmama Gāʔau
4700,tuamotuan,1531,raakau,r aː k a u,,POLLEX,raakau
5212,rurutuan,1531,ʔaamaʔa,ʔ aː m a ʔ a,,Meyer-128-2005,ʔaamaʔa
5720,hawaiian,1531,lālā,l aː l aː,,71458,lālā
926,maori,1402,uu,uː,,Biggs-85-2005,uu
1377,tahitian,1402,tiitii,t iː t iː,,Clark-173-2005,tiitii
1823,rapanui,1402,û,ʔ uː,,POLLEX,û
2087,mangareva,1402,kuperu,k u p e r u,,POLLEX,kuperu
3272,sikaiana,1402,uu,uː,,POLLEX,uu
3563,northmarquesan,1402,ki'i nene,k i ʔ i n e n e,,POLLEX,ki'i nene
3564,northmarquesan,1402,u,u,,POLLEX,u
4571,raivavae,1402,ʔouma,ʔ o u m a,,Tamaititahio-1213-2015,ʔouma
4827,tuamotuan,1402,koouma,k oː u m a,,POLLEX,koouma
5333,rurutuan,1402,ʔoouma,ʔ oː u m a,,Meyer-128-2005,ʔoouma
5334,rurutuan,1402,tiitii,t iː t iː,,Meyer-128-2005,tiitii
5823,hawaiian,1402,ū,uː,,71458,ū
888,maori,2099,tamaiti,t a m a i t i,,Biggs-85-2005,tamaiti
1336,tahitian,2099,tamari'i,t a m a r i ʔ i,,Clark-173-2005,tamari'i
1780,rapanui,2099,poki,p o k i,,POLLEX,poki
2042,mangareva,2099,toromiki,t o r o m i k i,,POLLEX,toromiki
3231,sikaiana,2099,tamaliki,t a m a l i k i,,POLLEX,tamaliki/liki
3513,northmarquesan,2099,tama,t a m a,,POLLEX,tama
4533,raivavae,2099,tamaGiʔi,t a m a ɢ i ʔ i,,Tamaititahio-1213-2015,tamaGiʔi
4776,tuamotuan,2099,tamaariki,t a m aː r i k i,,POLLEX,tamaariki
4777,tuamotuan,2099,tama,t a m a,,POLLEX,tama
5285,rurutuan,2099,maʔuru,m a ʔ u r u,,Meyer-128-2005,maʔuru
5286,rurutuan,2099,tamariʔi,t a m a r i ʔ i,,Meyer-128-2005,tamariʔi
5781,hawaiian,2099,keiki,k e i k i,,71458,keiki
809,maori,1489,kapua,k a p u a,,Biggs-85-2005,kapua
1254,tahitian,1489,ata,a t a,,Clark-173-2005,ata
1690,rapanui,1489,ragi,r a g i,,POLLEX,ragi
1691,rapanui,1489,kohu,k o h u,,POLLEX,kohu
1945,mangareva,1489,ao,a o,,POLLEX,ao
3153,sikaiana,1489,lehuna,l e h u n a,,POLLEX,lehuna
3402,northmarquesan,1489,ao,a o,,POLLEX,ao (i)
4467,raivavae,1489,ata,a t a,,Tamaititahio-1213-2015,ata
4676,tuamotuan,1489,titi,t i t i,,POLLEX,titi
4677,tuamotuan,1489,ao,a o,,POLLEX,ao
5192,rurutuan,1489,ata,a t a,,Meyer-128-2005,ata
5700,hawaiian,1489,ao,a o,,71458,ao
800,maori,1287,makariri,m a k a r i r i,,Biggs-85-2005,makariri
1245,tahitian,1287,to'eto'e,t o ʔ e t o ʔ e,,Clark-173-2005,to'eto'e
1678,rapanui,1287,takeo,t a k e o,,POLLEX,takeo
1934,mangareva,1287,makariri,m a k a r i r i,,POLLEX,makariri
1935,mangareva,1287,anu,a n u,,POLLEX,anu
3145,sikaiana,1287,makalili,m a k a l i l i,,POLLEX,makalili
3392,northmarquesan,1287,kamariri,k a m a r i r i,,POLLEX,kamariri
3393,northmarquesan,1287,anu,a n u,,POLLEX,anu
3394,northmarquesan,1287,makarere,m a k a r e r e,,POLLEX,makkarede
4460,raivavae,1287,haumāGū,h a u m aː ɢ uː,,Tamaititahio-1213-2015,haumāGū
4660,tuamotuan,1287,toketoke,t o k e t o k e,,POLLEX,toketoke
4661,tuamotuan,1287,anu,a n u,,POLLEX,anu
4662,tuamotuan,1287,makariri,m a k a r i r i,,POLLEX,makariri
5182,rurutuan,1287,toʔetoʔe,t o ʔ e t o ʔ e,,Meyer-128-2005,toʔetoʔe
5690,hawaiian,1287,anu,a n u,,71458,anu
772,maori,1725,tika,t i k a,,Biggs-85-2005,tika
1215,tahitian,1725,'aafaro,ʔ aː f a r o,,Clark-173-2005,'aafaro
1216,tahitian,1725,tano,t a n o,,Clark-173-2005,tano
1641,rapanui,1725,titika,t i t i k a,,POLLEX,titika
1894,mangareva,1725,mau,m a u,,POLLEX,mau
1895,mangareva,1725,tika,t i k a,,POLLEX,tika
3116,sikaiana,1725,tonu,t o n u,,POLLEX,tonu
3345,northmarquesan,1725,toitoi,t o i t o i,,POLLEX,toitoi
3346,northmarquesan,1725,mea hei,m e a h e i,,POLLEX,mea hei
4433,raivavae,1725,mau,m a u,,Tamaititahio-1213-2015,mau
4627,tuamotuan,1725,tika,t i k a,,POLLEX,tika
5149,rurutuan,1725,parau mau,p a r a u m a u,,Meyer-128-2005,parau mau
5150,rurutuan,1725,ʔaafaro,ʔ aː f a r o,,Meyer-128-2005,ʔaafaro
5151,rurutuan,1725,tano,t a n o,,Meyer-128-2005,tano
5661,hawaiian,1725,'oiā'i'o,ʔ o i aː ʔ i ʔ o,,71458,'oiā'i'o
769,maori,1225,raa,r aː,,Biggs-85-2005,raa
770,maori,1225,ao,a o,,Biggs-85-2005,ao
1213,tahitian,1225,ao,a o,,Clark-173-2005,ao
1639,rapanui,1225,raa,r aː,,POLLEX,raa
1891,mangareva,1225,ao,a o,,POLLEX,ao
1892,mangareva,1225,ao,a o,,POLLEX,ao
3114,sikaiana,1225,aso,a s o,,POLLEX,aso
3342,northmarquesan,1225,oatea,o a t e a,,POLLEX,oatea
3343,northmarquesan,1225,ao,a o,,POLLEX,ao
4431,raivavae,1225,mahana,m a h a n a,,Tamaititahio-1213-2015,mahana
4624,tuamotuan,1225,ao,a o,,POLLEX,ao
